1. pen, notebook, scale, papaya → Answer: papaya
637. dog, lion, red, tiger → Answer: red
638. circle, dog, square, rectangle → Answer: dog
639. scale, star, oval, triangle → Answer: scale
640. circle, triangle, black, rectangle → Answer: black
641. pencil, star, eraser, scale → Answer: star
642. bike, bear, car, van → Answer: bear
643. pencil, scale, oval, chalk → Answer: oval
644. monkey, cow, deer, chalk → Answer: chalk
645. scale, bag, pink, notebook → Answer: pink
646. orange, black, red, pink → Answer: orange
647. book, square, chalk, scale → Answer: square
648. train, truck, airplane, guava → Answer: guava
649. square, oval, hexagon, bus → Answer: bus
650. scale, bag, sharpener, ship → Answer: ship
651. orange, giraffe, bear, lion → Answer: orange
652. pencil, green, eraser, scale → Answer: green
653. goat, tiger, cow, black → Answer: black
654. pink, black, lion, blue → Answer: lion
655. elephant, deer, cow, circle → Answer: circle
656. lion, zebra, sharpener, giraffe → Answer: sharpener
657. guava, apple, pen, papaya → Answer: pen
658. pink, green, car, purple → Answer: car
659. chalk, pen, lion, notebook → Answer: lion
660. pink, hexagon, circle, star → Answer: pink
661. zebra, giraffe, orange, cow → Answer: orange
662. pen, pencil, star, chalk → Answer: star
663. car, banana, grape, guava → Answer: car
664. star, square, car, triangle → Answer: car
665. bike, truck, lion, bus → Answer: lion
666. hexagon, oval, yellow, circle → Answer: yellow
667. pear, banana, guava, airplane → Answer: airplane
668. scale, bus, book, chalk → Answer: bus
669. oval, cow, monkey, giraffe → Answer: oval
670. guava, mango, papaya, book → Answer: book
671. green, pink, red, rectangle → Answer: rectangle
672. pencil, bag, papaya, book → Answer: papaya
673. bike, train, bag, ship → Answer: bag
674. banana, cat, horse, tiger → Answer: banana
675. notebook, pen, scale, elephant → Answer: elephant
676. green, white, guava, purple → Answer: guava
677. guava, eraser, chalk, notebook → Answer: guava
678. guava, banana, grape, hexagon → Answer: hexagon
679. elephant, bike, tiger, bear → Answer: bike
680. green, yellow, white, monkey → Answer: monkey
681. pencil, scale, white, chalk → Answer: white
682. circle, rectangle, square, guava → Answer: guava
683. book, sharpener, hexagon, chalk → Answer: hexagon
684. circle, purple, square, triangle → Answer: purple
685. notebook, goat, sharpener, scale → Answer: goat
686. truck, bike, airplane, yellow → Answer: yellow
687. truck, ship, book, bike → Answer: book
688. orange, square, grape, pear → Answer: square
689. dog, scooter, truck, airplane → Answer: dog
690. red, purple, green, scale → Answer: scale
691. white, lion, yellow, black → Answer: lion
692. bus, grape, pear, orange → Answer: bus
693. bag, eraser, orange, scale → Answer: orange
694. rectangle, hexagon, circle, train → Answer: train
695. pen, sharpener, deer, book → Answer: deer
696. giraffe, star, bear, lion → Answer: star
697. blue, ship, airplane, bus → Answer: blue
698. car, train, black, ship → Answer: black
699. papaya, mango, chalk, guava → Answer: chalk
700. blue, yellow, dog, purple → Answer: dog
701. dog, zebra, scooter, lion → Answer: scooter
702. cat, chalk, bag, notebook → Answer: cat
703. book, ship, sharpener, pen → Answer: ship
704. black, tiger, lion, cow → Answer: black
705. goat, square, elephant, monkey → Answer: square
706. purple, pencil, book, pen → Answer: purple
707. hexagon, apple, square, star → Answer: apple
708. triangle, notebook, star, hexagon → Answer: notebook
709. blue, eraser, sharpener, pencil → Answer: blue
710. airplane, triangle, bike, car → Answer: triangle
711. goat, cat, triangle, dog → Answer: triangle
712. orange, apple, star, mango → Answer: star
713. purple, chalk, pen, eraser → Answer: purple
714. yellow, truck, van, bus → Answer: yellow
715. ship, airplane, tiger, truck → Answer: tiger
716. hexagon, oval, deer, square → Answer: deer
717. bear, tiger, deer, mango → Answer: mango
718. grape, bag, scale, book → Answer: grape
719. eraser, red, pen, pencil → Answer: red
720. yellow, chalk, bag, pen → Answer: yellow
721. papaya, orange, grape, cow → Answer: cow
722. pink, pencil, pen, notebook → Answer: pink
723. banana, papaya, bear, guava → Answer: bear
724. triangle, van, car, airplane → Answer: triangle
725. pen, white, blue, pink → Answer: pen
726. airplane, pink, bike, car → Answer: pink
727. scooter, goat, truck, car → Answer: goat
728. bear, cow, tiger, truck → Answer: truck
729. cow, zebra, papaya, cat → Answer: papaya
730. banana, white, guava, mango → Answer: white
731. grape, zebra, papaya, orange → Answer: zebra
732. banana, grape, book, papaya → Answer: book
733. chalk, pencil, car, sharpener → Answer: car
734. mango, circle, star, rectangle → Answer: mango
735. eraser, tiger, notebook, book → Answer: tiger
736. green, white, car, yellow → Answer: car
737. blue, green, apple, black → Answer: apple
738. yellow, scooter, bike, bus → Answer: yellow
739. goat, deer, dog, star → Answer: star
740. cat, oval, lion, monkey → Answer: oval
741. red, bag, scale, eraser → Answer: red
742. pen, sharpener, chalk, rectangle → Answer: rectangle
743. eraser, truck, train, car → Answer: eraser
744. pink, scooter, black, yellow → Answer: scooter
745. black, giraffe, red, blue → Answer: giraffe
746. monkey, horse, airplane, goat → Answer: airplane
747. deer, monkey, hexagon, bear → Answer: hexagon
748. notebook, scale, pink, bag → Answer: pink
749. pink, oval, rectangle, triangle → Answer: pink
750. pink, cow, tiger, lion → Answer: pink
751. bus, truck, purple, car → Answer: purple
752. circle, black, green, pink → Answer: circle
753. sharpener, green, red, purple → Answer: sharpener
754. guava, oval, banana, mango → Answer: oval
755. scale, pencil, truck, eraser → Answer: truck
756. banana, guava, papaya, airplane → Answer: airplane
757. oval, triangle, square, airplane → Answer: airplane
758. star, deer, hexagon, circle → Answer: deer
759. guava, book, scale, sharpener → Answer: guava
760. oval, star, square, truck → Answer: truck
761. notebook, rectangle, pen, pencil → Answer: rectangle
762. bear, eraser, notebook, book → Answer: bear
763. pencil, giraffe, cat, cow → Answer: pencil
764. train, book, eraser, chalk → Answer: train
765. tiger, red, bear, goat → Answer: red
766. pink, red, purple, tiger → Answer: tiger
767. oval, car, scooter, train → Answer: oval
768. cow, cat, horse, pink → Answer: pink
769. dog, triangle, deer, tiger → Answer: triangle
770. grape, apple, orange, bus → Answer: bus
771. eraser, hexagon, bag, notebook → Answer: hexagon
772. star, van, square, hexagon → Answer: van
773. chalk, papaya, pen, bag → Answer: papaya
774. pear, blue, red, yellow → Answer: pear
775. pink, green, goat, yellow → Answer: goat
776. eraser, pen, notebook, star → Answer: star
777. purple, pear, orange, banana → Answer: purple
778. pencil, scale, sharpener, train → Answer: train
779. circle, oval, train, square → Answer: train
780. guava, pink, red, blue → Answer: guava
781. oval, grape, circle, star → Answer: grape
782. bear, circle, hexagon, triangle → Answer: bear
783. ship, scooter, bus, black → Answer: black
784. truck, papaya, scooter, bus → Answer: papaya
785. purple, mango, grape, banana → Answer: purple
786. bike, pen, airplane, truck → Answer: pen
787. triangle, dog, star, square → Answer: dog
788. grape, book, notebook, sharpener → Answer: grape
789. orange, black, banana, pear → Answer: black
790. star, elephant, circle, hexagon → Answer: elephant
791. bear, dog, monkey, green → Answer: green
792. book, rectangle, scale, bag → Answer: rectangle
793. pink, airplane, van, truck → Answer: pink
794. red, monkey, white, green → Answer: monkey
795. giraffe, dog, goat, square → Answer: square
796. hexagon, yellow, black, purple → Answer: hexagon
797. guava, notebook, pear, papaya → Answer: notebook
798. pencil, notebook, apple, eraser → Answer: apple
799. zebra, van, monkey, bear → Answer: van
800. star, yellow, square, rectangle → Answer: yellow
801. red, blue, chalk, green → Answer: chalk
802. zebra, scooter, truck, car → Answer: zebra
803. pink, white, green, hexagon → Answer: hexagon
804. grape, circle, mango, banana → Answer: circle
805. goat, black, cow, dog → Answer: black
806. airplane, bike, monkey, van → Answer: monkey
807. star, rectangle, square, red → Answer: red
808. hexagon, star, oval, pencil → Answer: pencil
809. yellow, green, rectangle, purple → Answer: rectangle
810. eraser, hexagon, triangle, circle → Answer: eraser
811. train, notebook, pen, sharpener → Answer: train
812. apple, papaya, red, banana → Answer: red
813. ship, bus, scooter, chalk → Answer: chalk
814. chalk, banana, sharpener, book → Answer: banana
815. eraser, pencil, apple, notebook → Answer: apple
816. deer, scale, tiger, horse → Answer: scale
817. star, ship, train, truck → Answer: star
818. rectangle, triangle, blue, star → Answer: blue
819. papaya, banana, triangle, orange → Answer: triangle
820. black, pink, circle, red → Answer: circle
821. bike, car, eraser, ship → Answer: eraser
822. mango, pencil, chalk, bag → Answer: mango
823. square, elephant, hexagon, star → Answer: elephant
824. black, red, triangle, green → Answer: triangle
825. airplane, bike, square, bus → Answer: square
826. truck, train, chalk, van → Answer: chalk
827. purple, cat, zebra, lion → Answer: purple
828. elephant, sharpener, notebook, eraser → Answer: elephant
829. deer, monkey, tiger, circle → Answer: circle
830. red, pink, green, papaya → Answer: papaya
831. car, bus, airplane, pink → Answer: pink
832. scale, bear, dog, lion → Answer: scale
833. star, hexagon, red, triangle → Answer: red
834. pen, ship, chalk, bag → Answer: ship
835. orange, blue, mango, grape → Answer: blue
836. yellow, green, red, bag → Answer: bag
837. bike, car, square, truck → Answer: square
838. apple, cow, goat, lion → Answer: apple
839. van, notebook, pencil, sharpener → Answer: van
840. deer, purple, cow, cat → Answer: purple
841. triangle, square, oval, mango → Answer: mango
842. yellow, train, red, blue → Answer: train
843. triangle, cat, rectangle, circle → Answer: cat
844. chalk, scale, pencil, giraffe → Answer: giraffe
845. circle, pink, blue, green → Answer: circle
846. car, truck, papaya, train → Answer: papaya
847. cow, blue, cat, tiger → Answer: blue
848. lion, blue, white, black → Answer: lion
849. cow, rectangle, hexagon, star → Answer: cow
850. pencil, book, scale, mango → Answer: mango
851. guava, blue, black, red → Answer: guava
852. mango, triangle, pear, orange → Answer: triangle
853. orange, rectangle, triangle, hexagon → Answer: orange
854. pen, mango, guava, papaya → Answer: pen
855. pear, grape, papaya, pink → Answer: pink
856. yellow, chalk, bag, eraser → Answer: yellow
857. dog, ship, truck, scooter → Answer: dog
858. pink, goat, red, black → Answer: goat
859. dog, giraffe, zebra, van → Answer: van
860. square, circle, triangle, dog → Answer: dog
861. pencil, bag, scale, square → Answer: square
862. blue, rectangle, circle, square → Answer: blue
863. pink, scooter, truck, ship → Answer: pink
864. apple, dog, papaya, mango → Answer: dog
865. triangle, hexagon, rectangle, yellow → Answer: yellow
866. pen, eraser, circle, scale → Answer: circle
867. apple, deer, grape, pear → Answer: deer
868. circle, notebook, rectangle, star → Answer: notebook
869. scooter, scale, book, sharpener → Answer: scooter
870. pen, rectangle, square, triangle → Answer: pen
871. bag, pen, hexagon, chalk → Answer: hexagon
872. guava, apple, square, grape → Answer: square
873. cow, pen, eraser, notebook → Answer: cow
874. horse, bag, giraffe, zebra → Answer: bag
875. triangle, monkey, star, oval → Answer: monkey
876. eraser, notebook, lion, pencil → Answer: lion
877. ship, bus, van, horse → Answer: horse
878. scooter, van, train, banana → Answer: banana
879. bus, truck, train, bear → Answer: bear
880. train, bus, tiger, car → Answer: tiger
881. yellow, notebook, pen, scale → Answer: yellow
882. chalk, notebook, airplane, eraser → Answer: airplane
883. apple, orange, chalk, papaya → Answer: chalk
884. circle, scooter, square, hexagon → Answer: scooter
885. goat, cow, giraffe, sharpener → Answer: sharpener
886. black, green, red, chalk → Answer: chalk
887. purple, oval, green, black → Answer: oval
888. mango, ship, orange, guava → Answer: ship
889. purple, white, yellow, elephant → Answer: elephant
890. square, hexagon, oval, bus → Answer: bus
891. mango, pear, papaya, bike → Answer: bike
892. hexagon, guava, grape, orange → Answer: hexagon
893. circle, rectangle, lion, star → Answer: lion
894. black, red, bear, purple → Answer: bear
895. airplane, car, van, elephant → Answer: elephant
896. cow, elephant, zebra, orange → Answer: orange
897. pen, eraser, elephant, book → Answer: elephant
898. pen, book, notebook, mango → Answer: mango
899. triangle, goat, tiger, lion → Answer: triangle
900. horse, monkey, tiger, circle → Answer: circle
901. cow, bear, deer, train → Answer: train
902. truck, van, circle, car → Answer: circle
903. red, pink, green, scooter → Answer: scooter
904. purple, yellow, hexagon, green → Answer: hexagon
905. truck, bus, airplane, blue → Answer: blue
906. orange, mango, circle, guava → Answer: circle
907. square, triangle, truck, hexagon → Answer: truck
908. train, blue, pink, white → Answer: train
909. notebook, orange, pen, bag → Answer: orange
910. pencil, airplane, chalk, sharpener → Answer: airplane
911. deer, yellow, horse, monkey → Answer: yellow
912. zebra, cat, goat, ship → Answer: ship
913. van, eraser, ship, car → Answer: eraser
914. zebra, ship, bike, airplane → Answer: zebra
915. pear, guava, grape, blue → Answer: blue
916. red, black, train, pink → Answer: train
917. pear, apple, square, papaya → Answer: square
918. pink, orange, guava, grape → Answer: pink
919. green, blue, pink, star → Answer: star
920. giraffe, elephant, pink, tiger → Answer: pink
921. pink, pencil, bag, notebook → Answer: pink
922. rectangle, papaya, guava, apple → Answer: rectangle
923. rectangle, train, truck, bus → Answer: rectangle
924. sharpener, scale, pen, papaya → Answer: papaya
925. chalk, black, book, eraser → Answer: black
926. triangle, rectangle, circle, goat → Answer: goat
927. pen, bag, sharpener, black → Answer: black
928. mango, pear, orange, rectangle → Answer: rectangle
929. orange, papaya, hexagon, mango → Answer: hexagon
930. tiger, green, yellow, red → Answer: tiger
931. sharpener, notebook, car, chalk → Answer: car
932. purple, black, banana, red → Answer: banana
933. rectangle, tiger, deer, horse → Answer: rectangle
934. mango, banana, pear, pink → Answer: pink
935. train, oval, rectangle, hexagon → Answer: train
936. grape, rectangle, guava, pear → Answer: rectangle
937. van, car, train, apple → Answer: apple
938. square, pencil, sharpener, scale → Answer: square
939. truck, car, mango, van → Answer: mango
940. star, triangle, car, square → Answer: car
941. zebra, elephant, monkey, star → Answer: star
942. bag, white, purple, blue → Answer: bag
943. van, bear, ship, car → Answer: bear
944. elephant, deer, tiger, mango → Answer: mango
945. star, blue, white, purple → Answer: star
946. airplane, cat, truck, bike → Answer: cat
947. lion, dog, tiger, pear → Answer: pear
948. orange, blue, grape, papaya → Answer: blue
949. orange, guava, triangle, mango → Answer: triangle
950. train, blue, scooter, car → Answer: blue
951. red, eraser, notebook, chalk → Answer: red
952. hexagon, square, airplane, circle → Answer: airplane
953. circle, white, red, black → Answer: circle
954. cow, giraffe, triangle, bear → Answer: triangle
955. notebook, banana, grape, apple → Answer: notebook
956. purple, pink, green, star → Answer: star
957. circle, triangle, oval, horse → Answer: horse
958. truck, papaya, apple, grape → Answer: truck
959. mango, papaya, grape, zebra → Answer: zebra
960. giraffe, apple, bear, lion → Answer: apple
961. bus, square, rectangle, star → Answer: bus
962. pink, yellow, pear, green → Answer: pear
963. circle, oval, green, square → Answer: green
964. pear, guava, mango, ship → Answer: ship
965. triangle, rectangle, star, pencil → Answer: pencil
966. blue, pencil, notebook, book → Answer: blue
967. pink, yellow, purple, square → Answer: square
968. zebra, circle, elephant, lion → Answer: circle
969. black, bus, ship, airplane → Answer: black
970. zebra, ship, monkey, cow → Answer: ship
971. mango, white, orange, apple → Answer: white
972. dog, notebook, scale, bag → Answer: dog
973. sharpener, chalk, pencil, green → Answer: green
974. pink, purple, hexagon, yellow → Answer: hexagon
975. square, goat, cat, tiger → Answer: square
976. chalk, yellow, book, bag → Answer: yellow
977. elephant, bear, green, lion → Answer: green
978. giraffe, apple, tiger, elephant → Answer: apple
979. oval, hexagon, triangle, zebra → Answer: zebra
980. square, triangle, yellow, star → Answer: yellow
981. star, pencil, pen, scale → Answer: star
982. zebra, horse, white, cat → Answer: white
983. sharpener, notebook, pen, triangle → Answer: triangle
984. red, green, yellow, square → Answer: square
985. circle, rectangle, triangle, yellow → Answer: yellow
986. sharpener, papaya, apple, guava → Answer: sharpener
987. blue, purple, papaya, red → Answer: papaya
988. circle, star, airplane, square → Answer: airplane
989. black, white, cow, pink → Answer: cow
990. mango, grape, white, apple → Answer: white
991. grape, blue, papaya, mango → Answer: blue
992. circle, star, triangle, van → Answer: van
993. chalk, pencil, triangle, sharpener → Answer: triangle
994. cow, purple, lion, tiger → Answer: purple
995. cow, giraffe, monkey, bus → Answer: bus
996. eraser, car, ship, train → Answer: eraser
997. scale, rectangle, book, notebook → Answer: rectangle
998. truck, car, bus, lion → Answer: lion
999. square, banana, papaya, apple → Answer: square
1000. van, bus, airplane, dog → Answer: dog
